item,panel,paire,ecart_annees,n_personnes,n_changeurs,taux_changement,derive_nette_tv,part_dirigee,n_monotone,n_contraire,n_indetermine,part_monotone_du_changement,part_contraire_du_changement,perimetre
prayer,2006-2010,2006-2010,4,776,189,0.24355670103092783,0.024484536082474223,0.10052910052910051,104,85,0,0.5502645502645502,0.4497354497354497,4 ans
courts,2006-2010,2006-2010,4,1157,364,0.3146067415730337,0.04321521175453763,0.13736263736263746,162,112,90,0.44505494505494503,0.3076923076923077,4 ans
discaffw,2006-2010,2006-2010,4,396,218,0.5505050505050505,0.07575757575757575,0.13761467889908255,105,75,38,0.481651376146789,0.3440366972477064,4 ans
discaffm,2006-2010,2006-2010,4,403,236,0.5856079404466501,0.04962779156327545,0.08474576271186444,42,99,95,0.17796610169491525,0.4194915254237288,4 ans
fehire,2006-2010,2006-2010,4,419,242,0.5775656324582339,0.062052505966587096,0.1074380165289256,91,65,86,0.3760330578512397,0.26859504132231404,4 ans
fechld,2006-2010,2006-2010,4,826,431,0.5217917675544794,0.03510895883777241,0.06728538283062648,180,158,93,0.4176334106728538,0.3665893271461717,4 ans
fepresch,2006-2010,2006-2010,4,819,365,0.4456654456654457,0.031746031746031744,0.07123287671232875,39,154,172,0.10684931506849316,0.42191780821917807,4 ans
fefam,2006-2010,2006-2010,4,819,405,0.4945054945054945,0.03174603174603175,0.06419753086419754,132,106,167,0.32592592592592595,0.2617283950617284,4 ans
fepol,2006-2010,2006-2010,4,765,143,0.1869281045751634,0.027450980392156862,0.14685314685314685,82,61,0,0.5734265734265734,0.42657342657342656,4 ans
wrkstat,2006-2010,2006-2010,4,1273,477,0.37470542026708564,0.06598586017282011,0.1761006289308176,153,69,255,0.32075471698113206,0.14465408805031446,4 ans
evwork,2006-2010,2006-2010,4,352,22,0.0625,0.045454545454545435,0.727272727272727,19,3,0,0.8636363636363636,0.13636363636363635,4 ans
partfull,2006-2010,2006-2010,4,770,143,0.18571428571428572,0.011688311688311664,0.0629370629370628,76,67,0,0.5314685314685315,0.46853146853146854,4 ans
conarmy,2006-2010,2006-2010,4,823,346,0.4204131227217497,0.07290400972053462,0.17341040462427745,88,28,230,0.2543352601156069,0.08092485549132948,4 ans
conbus,2006-2010,2006-2010,4,812,349,0.42980295566502463,0.0899014778325123,0.20916905444126072,118,45,186,0.33810888252148996,0.12893982808022922,4 ans
conclerg,2006-2010,2006-2010,4,807,337,0.41759603469640644,0.06319702602230484,0.15133531157270033,115,64,158,0.34124629080118696,0.18991097922848665,4 ans
coneduc,2006-2010,2006-2010,4,834,331,0.39688249400479614,0.0683453237410072,0.1722054380664653,183,126,22,0.552870090634441,0.3806646525679758,4 ans
confed,2006-2010,2006-2010,4,818,468,0.5721271393643031,0.02078239608801956,0.03632478632478633,99,82,287,0.21153846153846154,0.1752136752136752,4 ans
confinan,2006-2010,2006-2010,4,826,467,0.5653753026634383,0.26392251815980633,0.4668094218415418,260,42,165,0.556745182012848,0.08993576017130621,4 ans
conjudge,2006-2010,2006-2010,4,805,347,0.43105590062111804,0.07080745341614907,0.1642651296829971,180,123,44,0.5187319884726225,0.35446685878962536,4 ans
conlabor,2006-2010,2006-2010,4,775,289,0.37290322580645163,0.0167741935483871,0.04498269896193772,58,45,186,0.20069204152249134,0.15570934256055363,4 ans
conlegis,2006-2010,2006-2010,4,825,349,0.42303030303030303,0.0775757575757576,0.18338108882521495,172,108,69,0.49283667621776506,0.30945558739255014,4 ans
conmedic,2006-2010,2006-2010,4,832,357,0.42908653846153844,0.044471153846153855,0.10364145658263307,182,145,30,0.5098039215686274,0.4061624649859944,4 ans
conpress,2006-2010,2006-2010,4,827,330,0.39903264812575573,0.04111245465538091,0.10303030303030307,149,115,66,0.45151515151515154,0.3484848484848485,4 ans
consci,2006-2010,2006-2010,4,780,315,0.40384615384615385,0.06282051282051286,0.15555555555555564,149,100,66,0.473015873015873,0.31746031746031744,4 ans
contv,2006-2010,2006-2010,4,826,353,0.42736077481840196,0.0460048426150121,0.10764872521246457,179,141,33,0.5070821529745042,0.39943342776203966,4 ans
joblose,2006-2010,2006-2010,4,404,173,0.4282178217821782,0.10891089108910891,0.2543352601156069,88,44,41,0.5086705202312138,0.2543352601156069,4 ans
jobfind,2006-2010,2006-2010,4,401,195,0.486284289276808,0.24937655860349128,0.5128205128205128,119,19,57,0.6102564102564103,0.09743589743589744,4 ans
happy,2006-2010,2006-2010,4,1272,498,0.3915094339622642,0.05424528301886794,0.1385542168674699,204,135,159,0.40963855421686746,0.2710843373493976,4 ans
hapmar,2006-2010,2006-2010,4,559,163,0.29159212880143115,0.035778175313059046,0.12269938650306751,84,64,15,0.5153374233128835,0.39263803680981596,4 ans
satjob,2006-2010,2006-2010,4,829,374,0.451145958986731,0.025331724969843178,0.056149732620320844,171,150,53,0.4572192513368984,0.40106951871657753,4 ans
spdeg*,2006-2010,2006-2010,4,553,99,0.17902350813743217,0.030741410488245913,0.17171717171717163,41,25,33,0.41414141414141414,0.25252525252525254,4 ans
unemp,2006-2010,2006-2010,4,838,215,0.256563245823389,0.015513126491646823,0.06046511627906994,114,101,0,0.5302325581395348,0.4697674418604651,4 ans
spkath/y,2006-2010,2006-2010,4,861,140,0.16260162601626016,0.009291521486643445,0.05714285714285719,74,66,0,0.5285714285714286,0.4714285714285714,4 ans
colath,2006-2010,2006-2010,4,833,220,0.26410564225690275,0.004801920768307322,0.018181818181818177,112,108,0,0.509090909090909,0.4909090909090909,4 ans
spkrac/y,2006-2010,2006-2010,4,853,266,0.3118405627198124,0.05158264947245017,0.16541353383458646,155,111,0,0.5827067669172933,0.41729323308270677,4 ans
