variable,regle_choc,mois_choc,cible,predicteur,description,n_menages,taux_de_base,auc,auc_permutee,chute,chute_ic_bas,chute_ic_haut,p_permutation_normal,p_permutation_empirique,p_holm,retenu_holm
revenu,"secondaire, saut d'IQR",2025-04,Y_dir,D,demographies seules,1021,0.3770812928501469,0.5015600751449808,0.5533372539410276,-0.0517771787960468,-0.0904884234036051,-0.0131380745180954,1.690298760270075e-05,0.0049751243781094,0.0013353360206133592,True
revenu,"secondaire, saut d'IQR",2025-04,Y_dir,H,historique du menage,1021,0.3770812928501469,0.6709854610798007,0.5111822265784529,0.1598032345013478,0.1072011055139071,0.2014318901596034,1.5961022112967596e-22,0.0049751243781094,2.4420363832840422e-20,True
revenu,"secondaire, saut d'IQR",2025-04,Y_dir,HD,historique et demographies,1021,0.3770812928501469,0.6737441803479539,0.5202949644694929,0.153449215878461,0.1038011091388988,0.1954323873761835,1.9118002597336498e-17,0.0049751243781094,2.6382843584324367e-15,True
revenu,"secondaire, saut d'IQR",2025-04,Y_dir,T0b,temoin constant,1021,0.3770812928501469,0.5,0.5,0.0,0.0,0.0,1.0,1.0,,False
depense,"primaire, saut de moyenne",2025-06,Y_rev,V,volatilite passee du menage seule,1048,0.5,0.6267026251383953,0.5079631049326963,0.118739520205699,0.0670177698189561,0.1608008264720828,4.849350945439836e-13,0.0049751243781094,5.867714643982202e-11,True
depense,"primaire, saut de moyenne",2025-06,Y_rev,N,"ecart au niveau moyen avant le choc, seul",1048,0.5,0.6852019113105297,0.5112300874803333,0.1739718238301963,0.1283499526750567,0.2170682514237653,1.0381130995330056e-24,0.0049751243781094,1.6505998282574789e-22,True
depense,"primaire, saut de moyenne",2025-06,Y_rev,L,"niveau d'avant le choc seul, signe, retour a la moyenne",1048,0.5,0.4302888817667968,0.4960443010314084,-0.0657554192646115,-0.1106037628381249,-0.0149288311424616,0.000118953296573,0.0049751243781094,0.008802543946402,True
depense,"primaire, saut de moyenne",2025-06,Y_rev,D,demographies seules,1048,0.5,0.4990549064739817,0.540974447875998,-0.0419195414020163,-0.0739721238687688,-0.0080387720602165,0.0047006823342869,0.0149253731343283,0.2209320697114843,False
depense,"primaire, saut de moyenne",2025-06,Y_rev,H,historique du menage,1048,0.5,0.778831726006643,0.5124840481323932,0.2663476778742497,0.2214686610147654,0.2988879766145333,1.2511801945123853e-56,0.0049751243781094,2.5524075968052662e-54,True
depense,"primaire, saut de moyenne",2025-06,Y_rev,HD,historique et demographies,1048,0.5,0.771660669541402,0.5165519928908572,0.2551086766505448,0.2066388912602107,0.2975898593102697,2.3368761882133145e-49,0.0049751243781094,4.650383614544496e-47,True
depense,"primaire, saut de moyenne",2025-06,Y_rev,T0b,temoin constant,1048,0.5,0.5,0.5,0.0,0.0,0.0,1.0,1.0,,False
depense,"primaire, saut de moyenne",2025-06,Y_dir,V,volatilite passee du menage seule,1048,0.3778625954198473,0.5541050845882134,0.511364798289645,0.0427402862985684,-0.0052183321257843,0.0897073037812083,0.0107492373420138,0.0199004975124378,0.429969493680552,False
depense,"primaire, saut de moyenne",2025-06,Y_dir,N,"ecart au niveau moyen avant le choc, seul",1048,0.3778625954198473,0.6057778707318585,0.5138087159942988,0.0919691547375597,0.0408427842391001,0.1367857853225585,3.8886063617948326e-08,0.0049751243781094,3.7330621073230395e-06,True
depense,"primaire, saut de moyenne",2025-06,Y_dir,L,"niveau d'avant le choc seul, signe, retour a la moyenne",1048,0.3778625954198473,0.7154675590258412,0.5080657127254137,0.2074018463004275,0.1557868228124107,0.2481105855923888,4.4478447725008506e-29,0.0049751243781094,7.650293008701463e-27,True
depense,"primaire, saut de moyenne",2025-06,Y_dir,D,demographies seules,1048,0.3778625954198473,0.5126921051000806,0.5470327605038111,-0.0343406554037305,-0.0658402736764284,-0.0019261391663088,0.0073058856253905,0.0199004975124378,0.306847196266401,False
depense,"primaire, saut de moyenne",2025-06,Y_dir,H,historique du menage,1048,0.3778625954198473,0.7233725289706885,0.5112043459905806,0.2121681829801078,0.1600588516971929,0.2530932426394527,8.000393423481066e-33,0.0049751243781094,1.440070816226592e-30,True
depense,"primaire, saut de moyenne",2025-06,Y_dir,HD,historique et demographies,1048,0.3778625954198473,0.7177681725227737,0.5197553177480324,0.1980128547747413,0.1469548633383934,0.2433194510144256,1.1954050290948627e-25,0.0049751243781094,1.960464247715575e-23,True
depense,"primaire, saut de moyenne",2025-06,Y_dir,T0b,temoin constant,1048,0.3778625954198473,0.5,0.5,0.0,0.0,0.0,1.0,1.0,,False
depense,"secondaire, saut d'IQR",2025-04,Y_rev,V,volatilite passee du menage seule,1023,0.4858260019550342,0.6674916418664075,0.5108795644589974,0.1566120774074101,0.1059927489972166,0.1963262631261731,1.3321124427718477e-21,0.0049751243781094,2.01148978858549e-19,True
depense,"secondaire, saut d'IQR",2025-04,Y_rev,N,"ecart au niveau moyen avant le choc, seul",1023,0.4858260019550342,0.6706092065702198,0.5142224640619382,0.1563867425082816,0.102039813338811,0.196597447667029,1.0581376387663078e-16,0.0049751243781094,1.4179044359468523e-14,True
depense,"secondaire, saut d'IQR",2025-04,Y_rev,L,"niveau d'avant le choc seul, signe, retour a la moyenne",1023,0.4858260019550342,0.4245281575383862,0.4906341279616865,-0.0661059704233003,-0.1139724071737002,-0.0178805410038587,0.0002832423649883,0.0049751243781094,0.0184107537242395,True
depense,"secondaire, saut d'IQR",2025-04,Y_rev,D,demographies seules,1023,0.4858260019550342,0.5712296593247699,0.5369085138205659,0.0343211455042039,-0.0083208166665619,0.0773318132899537,0.0312242320525489,0.0497512437810945,1.0,False
depense,"secondaire, saut d'IQR",2025-04,Y_rev,H,historique du menage,1023,0.4858260019550342,0.7792075647803168,0.5158569573333538,0.263350607446963,0.2146172465355802,0.2975244954546984,4.2066718906315694e-54,0.0049751243781094,8.49747721907577e-52,True
