source,famille,statistique,taux,valeur_moyenne,ecart_a_la_reference,z,p_bilateral,puissance_empirique,n_tirages,taux_detectable_alpha5,taux_detectable_holm27,courbe_a,courbe_b,courbe_r2,p_holm
agents v8,modele a etiquette,B,0.05,0.04592327527000156,0.003707213111399668,4.303825150198559,1.678741708742012e-05,1.0,20,0.026250000000000002,0.037000000000000005,0.09178584606739497,0.008456729131798612,0.9989604550477831,0.00038611059301066277
agents v8,modele a etiquette,B,0.1,0.05039147392790631,0.00817541176930442,9.491103351400607,2.2860161576649972e-21,1.0,20,0.026250000000000002,0.037000000000000005,0.09178584606739497,0.008456729131798612,0.9989604550477831,
agents v8,modele a etiquette,B,0.25,0.06671238249391785,0.024496320335315958,28.438580782492068,6.745916541464958e-178,1.0,20,0.026250000000000002,0.037000000000000005,0.09178584606739497,0.008456729131798612,0.9989604550477831,
agents v8,modele a etiquette,B,0.5,0.09002038097861469,0.04780431882001279,55.49759979889668,0.0,1.0,20,0.026250000000000002,0.037000000000000005,0.09178584606739497,0.008456729131798612,0.9989604550477831,
agents v8,modele a etiquette,C,0.05,0.031181190672314868,0.003947350368132357,6.2442648769986295,4.257979038087998e-10,1.0,20,0.01365,0.019100000000000002,0.12780371526065498,0.1720893352963021,0.9985330621968034,1.1070745499028794e-08
agents v8,modele a etiquette,C,0.1,0.039464187363580885,0.012230347059398374,19.347035214570553,2.1591020002236513e-83,1.0,20,0.01365,0.019100000000000002,0.12780371526065498,0.1720893352963021,0.9985330621968034,
agents v8,modele a etiquette,C,0.25,0.07242804112385923,0.04519420081967672,71.49214903764721,0.0,1.0,20,0.01365,0.019100000000000002,0.12780371526065498,0.1720893352963021,0.9985330621968034,
agents v8,modele a etiquette,C,0.5,0.1336556769215786,0.10642183661739608,168.34739117675684,0.0,1.0,20,0.01365,0.019100000000000002,0.12780371526065498,0.1720893352963021,0.9985330621968034,
humains vague 2,humain,A,0.05,-0.0699387182320976,-0.0013769569390587877,-0.47168154005594065,0.6371541153577587,0.0,20,0.9545,,-0.014893277321036914,0.0066263261093288785,0.9902391212344706,
humains vague 2,humain,A,0.1,-0.06991599562330461,-0.0013542343302657966,-0.4638978288841935,0.642720948408797,0.0,20,0.9545,,-0.014893277321036914,0.0066263261093288785,0.9902391212344706,
humains vague 2,humain,A,0.25,-0.07168139733176064,-0.0031196360387218264,-1.0686425184538775,0.28523078191850687,0.05,20,0.9545,,-0.014893277321036914,0.0066263261093288785,0.9902391212344706,
humains vague 2,humain,A,0.5,-0.07439546752039812,-0.005833706227359306,-1.9983569997734623,0.04567796996811033,0.65,20,0.9545,,-0.014893277321036914,0.0066263261093288785,0.9902391212344706,
humains vague 2,humain,B,0.05,0.042343604721891824,0.0001275425632899299,0.14806834004769295,0.8822888349726491,0.0,20,,,0.0026713998391132924,-0.0006627908987336229,0.9981889472599219,
humains vague 2,humain,B,0.1,0.04242895732905177,0.0002128951704498741,0.2471569778711857,0.8047867392188938,0.0,20,,,0.0026713998391132924,-0.0006627908987336229,0.9981889472599219,
humains vague 2,humain,B,0.25,0.042874535868583606,0.000658473709981712,0.7644437016715979,0.44460287420786143,0.0,20,,,0.0026713998391132924,-0.0006627908987336229,0.9981889472599219,
humains vague 2,humain,B,0.5,0.04338000068882473,0.0011639385302228342,1.3512543706360791,0.17661396319381148,0.15,20,,,0.0026713998391132924,-0.0006627908987336229,0.9981889472599219,
humains vague 2,humain,C,0.05,0.02721007604562738,-2.37642585551312e-05,-0.03759238759794437,0.9700126774502668,0.0,20,,,-0.00010736227181011721,-0.0012107137107994434,0.9963917940342354,
humains vague 2,humain,C,0.1,0.02720057034220532,-3.3269961977191315e-05,-0.052629342637134195,0.9580272373185448,0.0,20,,,-0.00010736227181011721,-0.0012107137107994434,0.9963917940342354,
humains vague 2,humain,C,0.25,0.027143536121673,-9.030418250951036e-05,-0.14285107287220727,0.8864078003478232,0.0,20,,,-0.00010736227181011721,-0.0012107137107994434,0.9963917940342354,
humains vague 2,humain,C,0.5,0.026875,-0.00035884030418251167,-0.5676450527290083,0.57027600884986,0.05,20,,,-0.00010736227181011721,-0.0012107137107994434,0.9963917940342354,
