source,camp,mode,quantite,taux_total,valeur_humaine,valeur,ecart,facteur,ic_bas,ic_haut,n_tirages
PMM k=10,droite,concentre,marginale2,0.2,52.75665399239544,52.33840304182509,-0.41825095057035355,0.9920720720720718,51.658745247148296,52.851711026615966,10
PMM k=10,droite,concentre,marginale2,0.3,52.75665399239544,52.19581749049429,-0.5608365019011501,0.9893693693693691,51.922528517110266,52.450095057034225,10
PMM k=10,droite,concentre,marginale3,0.02,38.68821292775665,38.6977186311787,0.00950570342205026,1.0002457002457001,38.4458174904943,38.8569391634981,10
PMM k=10,droite,concentre,marginale3,0.05,38.68821292775665,38.73574144486692,0.04752851711026551,1.0012285012285012,38.1606463878327,39.405893536121674,10
PMM k=10,droite,concentre,marginale3,0.1,38.68821292775665,38.65019011406844,-0.03802281368821525,0.999017199017199,38.06558935361217,39.458174904942965,10
PMM k=10,droite,concentre,marginale3,0.2,38.68821292775665,38.74524714828897,0.05703422053231577,1.0014742014742013,37.844581749049425,39.64828897338403,10
PMM k=10,droite,concentre,marginale3,0.3,38.68821292775665,38.545627376425855,-0.14258555133079653,0.9963144963144963,38.182034220532316,38.87832699619772,10
PMM k=10,droite,uniforme,polarisation,0.02,0.4504530967379146,0.4522717405107679,0.00181864377285329,1.0040373654571886,0.45082807251193524,0.4534369627716399,10
PMM k=10,droite,uniforme,polarisation,0.05,0.4504530967379146,0.45434522911160646,0.003892132373691848,1.0086404831088471,0.45274118127637647,0.45537314306976323,10
PMM k=10,droite,uniforme,polarisation,0.1,0.4504530967379146,0.4572954902647067,0.006842393526792112,1.0151900243917586,0.45467617131941046,0.45942170326078047,10
PMM k=10,droite,uniforme,polarisation,0.2,0.4504530967379146,0.4649607880100183,0.014507691272103662,1.0322068854164068,0.46124294673169003,0.468471821336876,10
PMM k=10,droite,uniforme,polarisation,0.3,0.4504530967379146,0.4725937449030745,0.02214064816515987,1.049151950170834,0.468554234873533,0.47507480799340207,10
PMM k=10,droite,uniforme,marginale1,0.02,33.65019011406844,33.63117870722433,-0.019011406844107626,0.9994350282485875,33.217680608365015,33.93536121673004,10
PMM k=10,droite,uniforme,marginale1,0.05,33.65019011406844,33.66920152091255,0.01901140684411473,1.0005649717514127,32.911121673003805,34.63165399239544,10
PMM k=10,droite,uniforme,marginale1,0.1,33.65019011406844,33.583650190114064,-0.06653992395437314,0.9980225988700565,32.83745247148289,34.67442965779468,10
PMM k=10,droite,uniforme,marginale1,0.2,33.65019011406844,34.02091254752852,0.37072243346008094,1.0110169491525425,32.59743346007605,34.86454372623574,10
PMM k=10,droite,uniforme,marginale1,0.3,33.65019011406844,33.94486692015209,0.29467680608365043,1.0087570621468926,32.69961977186312,35.56083650190114,10
PMM k=10,droite,uniforme,marginale2,0.02,52.75665399239544,52.74714828897338,-0.009505703422064471,0.9998198198198196,52.27186311787072,53.094106463878326,10
PMM k=10,droite,uniforme,marginale2,0.05,52.75665399239544,52.97528517110267,0.21863117870722704,1.004144144144144,52.39781368821293,53.326996197718636,10
PMM k=10,droite,uniforme,marginale2,0.1,52.75665399239544,52.851711026615966,0.09505703422052392,1.0018018018018016,51.99619771863118,53.738117870722434,10
PMM k=10,droite,uniforme,marginale2,0.2,52.75665399239544,52.61406844106464,-0.14258555133080364,0.9972972972972972,51.870247148288975,53.11549429657795,10
PMM k=10,droite,uniforme,marginale2,0.3,52.75665399239544,53.184410646387825,0.4277566539923825,1.0081081081081078,52.09125475285171,54.667300380228134,10
PMM k=10,droite,uniforme,marginale3,0.02,38.68821292775665,38.75475285171102,0.06653992395436603,1.0017199017199014,38.51948669201521,39.06844106463878,10
PMM k=10,droite,uniforme,marginale3,0.05,38.68821292775665,38.96387832699619,0.2756653992395357,1.007125307125307,38.467205323193916,39.258555133079845,10
