configuration,statistique,taille,taux,valeur_moyenne,reference_humaine,ecart_a_la_reference,s0,z,p_bilateral,puissance_empirique,n_tirages,tau_etoile_holm39,tau_etoile_holm3,tau_etoile_nominal,courbe_a,courbe_b,courbe_r2,p_holm
Demographics Only - GPT4.1-mini,C,2058,0.05,0.009454972465176547,0.008527696793002915,0.0009272756721736327,0.00037086482275518526,2.50030635228444,0.012408595093526296,0.16666666666666666,12,0.0284,0.0228,0.01985,0.05097797222097301,0.07558381863067645,0.9977789953985114,0.35984925771226256
Demographics Only - GPT4.1-mini,C,2058,0.1,0.013637836086815678,0.008527696793002915,0.005110139293812764,0.00037086482275518526,13.77898085844087,3.410528208563295e-43,1.0,12,0.0284,0.0228,0.01985,0.05097797222097301,0.07558381863067645,0.9977789953985114,
Demographics Only - GPT4.1-mini,C,2058,0.25,0.027123825720764494,0.008527696793002915,0.01859612892776158,0.00037086482275518526,50.142606650071066,0.0,1.0,12,0.0284,0.0228,0.01985,0.05097797222097301,0.07558381863067645,0.9977789953985114,
Demographics Only - GPT4.1-mini,C,2058,0.5,0.052678571428571436,0.008527696793002915,0.04415087463556852,0.00037086482275518526,119.04842931062602,0.0,1.0,12,0.0284,0.0228,0.01985,0.05097797222097301,0.07558381863067645,0.9977789953985114,
JSON Persona (Predicted Output) - GPT4.1,A,1052,0.05,-0.03073597025399788,-0.02779075930803467,-0.0029452109459632107,0.0029442185715039555,-1.0003370586915183,0.3171474186812752,0.0,12,0.11055000000000001,0.09255000000000001,0.0825,-0.07611933200620981,-0.2900263763480963,0.9990952767573954,
JSON Persona (Predicted Output) - GPT4.1,A,1052,0.1,-0.03596245489973044,-0.02779075930803467,-0.008171695591695772,0.0029442185715039555,-2.775505755852065,0.00551159237324581,0.4166666666666667,12,0.11055000000000001,0.09255000000000001,0.0825,-0.07611933200620981,-0.2900263763480963,0.9990952767573954,
JSON Persona (Predicted Output) - GPT4.1,A,1052,0.25,-0.06701605748396139,-0.02779075930803467,-0.03922529817592672,0.0029442185715039555,-13.322821394978767,1.705387397220543e-40,1.0,12,0.11055000000000001,0.09255000000000001,0.0825,-0.07611933200620981,-0.2900263763480963,0.9990952767573954,
JSON Persona (Predicted Output) - GPT4.1,A,1052,0.5,-0.1379492935058575,-0.02779075930803467,-0.11015853419782283,0.0029442185715039555,-37.4152025478027,2.2117102456728812e-306,1.0,12,0.11055000000000001,0.09255000000000001,0.0825,-0.07611933200620981,-0.2900263763480963,0.9990952767573954,
JSON Persona (Predicted Output) - GPT4.1,B,1052,0.05,0.02337387251322365,0.022669280812239557,0.0007045917009840946,0.0013101984300480014,0.5377748017590592,0.5907325303328985,0.0,12,0.2374,0.19990000000000002,0.17880000000000001,0.014771956606556435,0.03222153513071004,0.9976497956884084,
JSON Persona (Predicted Output) - GPT4.1,B,1052,0.1,0.02382114567276078,0.022669280812239557,0.0011518648605212227,0.0013101984300480014,0.879152984849037,0.3793183323248889,0.0,12,0.2374,0.19990000000000002,0.17880000000000001,0.014771956606556435,0.03222153513071004,0.9976497956884084,
JSON Persona (Predicted Output) - GPT4.1,B,1052,0.25,0.028831787034651998,0.022669280812239557,0.006162506222412441,0.0013101984300480014,4.7034907698574075,2.5575066335364534e-06,1.0,12,0.2374,0.19990000000000002,0.17880000000000001,0.014771956606556435,0.03222153513071004,0.9976497956884084,
JSON Persona (Predicted Output) - GPT4.1,B,1052,0.5,0.03802377256264866,0.022669280812239557,0.015354491750409104,0.0013101984300480014,11.719210921239286,1.016140446275672e-31,1.0,12,0.2374,0.19990000000000002,0.17880000000000001,0.014771956606556435,0.03222153513071004,0.9976497956884084,
JSON Persona (Predicted Output) - GPT4.1,C,1052,0.05,0.01178402728284608,0.011455798479087452,0.00032822880375862895,0.0005300355271454298,0.6192581194063438,0.535746329625526,0.0,12,0.19005,0.15990000000000001,0.1429,0.007553780329918553,0.019860012404787453,0.9997138340537486,
JSON Persona (Predicted Output) - GPT4.1,C,1052,0.1,0.012326514250754648,0.011455798479087452,0.0008707157716671965,0.0005300355271454298,1.6427498291605869,0.10043470444479383,0.08333333333333333,12,0.19005,0.15990000000000001,0.1429,0.007553780329918553,0.019860012404787453,0.9997138340537486,
JSON Persona (Predicted Output) - GPT4.1,C,1052,0.25,0.014674461951254462,0.011455798479087452,0.0032186634721670104,0.0005300355271454298,6.072542890665292,1.2590045635652485e-09,1.0,12,0.19005,0.15990000000000001,0.1429,0.007553780329918553,0.019860012404787453,0.9997138340537486,
JSON Persona (Predicted Output) - GPT4.1,C,1052,0.5,0.020179771439498943,0.011455798479087452,0.008723972960411492,0.0005300355271454298,16.459223040001675,7.201893169091362e-61,1.0,12,0.19005,0.15990000000000001,0.1429,0.007553780329918553,0.019860012404787453,0.9997138340537486,
JSON Persona (Predicted Output) - GPT4.1,A,2058,0.05,-0.04553914155514538,-0.04095937129436311,-0.004579770260782268,0.0024770209992217196,-1.848902476895122,0.06447189598899028,0.0,12,0.06595000000000001,0.0538,0.04725,-0.1329397968972911,-0.2982129218296585,0.9988591747724853,1.0
JSON Persona (Predicted Output) - GPT4.1,A,2058,0.1,-0.05420544577525383,-0.04095937129436311,-0.01324607448089072,0.0024770209992217196,-5.347582634564922,8.913671898206179e-08,1.0,12,0.06595000000000001,0.0538,0.04725,-0.1329397968972911,-0.2982129218296585,0.9988591747724853,
JSON Persona (Predicted Output) - GPT4.1,A,2058,0.25,-0.09578444084632225,-0.04095937129436311,-0.054825069551959135,0.0024770209992217196,-22.133469828953885,1.5053620926445045e-108,1.0,12,0.06595000000000001,0.0538,0.04725,-0.1329397968972911,-0.2982129218296585,0.9988591747724853,
JSON Persona (Predicted Output) - GPT4.1,A,2058,0.5,-0.18139387591807457,-0.04095937129436311,-0.14043450462371146,0.0024770209992217196,-56.69491888354439,0.0,1.0,12,0.06595000000000001,0.0538,0.04725,-0.1329397968972911,-0.2982129218296585,0.9988591747724853,
JSON Persona (Predicted Output) - GPT4.1,B,2058,0.05,0.02608099133172528,0.02599133484088814,8.965649083713875e-05,0.0011037801961247676,0.08122676158886645,0.9352616171600682,0.0,12,0.19970000000000002,0.1675,0.1495,0.01545808539086053,0.03501126137133109,0.9941426251695683,1.0
JSON Persona (Predicted Output) - GPT4.1,B,2058,0.1,0.027102598485846882,0.02599133484088814,0.0011112636449587404,0.0011037801961247676,1.0067798361125215,0.31404058653460926,0.0,12,0.19970000000000002,0.1675,0.1495,0.01545808539086053,0.03501126137133109,0.9941426251695683,
