item,cible,predicteur,n_personnes,n_changeurs,taux_de_base,auc,rappel,auc_permutee,auc_permutee_p2_5,auc_permutee_p97_5,auc_permutee_ecart_type,z_permutation,chute,p_permutation,p_permutation_normale,p_holm,p_bh,p_holm_normale,p_bh_normale
fair,mono,F foret,3141,466,0.1483603947787329,0.756376398860856,0.43776824034334766,0.5308225702940115,0.5047744775580603,0.5539262364124985,0.012674092288440818,17.79644833204796,0.22555382856684447,0.004975124378109453,3.764762065686707e-71,0.5870646766169154,0.005149690145762416,3.0118096525493656e-69,1.1390818557718754e-70
fair,mono,T0 nul avec derive,3141,466,0.1483603947787329,0.48102883959728854,0.14163090128755365,0.4997777686414504,0.47298807709277607,0.522224750310858,0.012581582472656744,-1.4901884627715527,-0.018748929044161866,0.9203980099502488,0.9319126554593234,1.0,1.0,1.0,0.9998362572761497
fair,mono,T0b nul a taux commun,3141,466,0.1483603947787329,0.5,0.19098712446351931,0.5,0.5,0.5,0.0,,0.0,1.0,,1.0,1.0,1.0,1.0
fair,mono,T1 temoin de segment,3141,466,0.1483603947787329,0.5235967269664273,0.18454935622317598,0.5847984416990895,0.5743511692270666,0.5951418113994625,0.005523584757499224,-11.080071623698755,-0.061201714732662116,1.0,1.0,1.0,1.0,1.0,1.0
helpful,mono,P position initiale seule,3144,507,0.16125954198473283,0.819614513234886,0.43984220907297833,0.5117633618532804,0.4906847648282408,0.5313205004790723,0.011476488231894554,26.824508086546007,0.30785115138160557,0.004975124378109453,8.366815165744668e-159,0.5870646766169154,0.005644852659778033,9.370832985634029e-157,1.4104059850826727e-157
helpful,mono,L1 logistique resumee,3144,507,0.16125954198473283,0.8500859039058042,0.4378698224852071,0.5183389281197105,0.4918085371353946,0.5470922257152239,0.014252713221453458,23.276057732414188,0.3317469757860937,0.004975124378109453,3.875126212382087e-120,0.5870646766169154,0.005241648898365316,4.146385047248833e-118,3.810540775509052e-119
helpful,mono,L2 logistique complete,3144,507,0.16125954198473283,0.8447035398991293,0.46942800788954636,0.5177479937679464,0.49142219394910386,0.5476678978188562,0.013701429332109076,23.86287869725882,0.32695554613118283,0.004975124378109453,3.721849746744205e-126,0.5870646766169154,0.0054865857627749105,4.131253218886068e-124,5.489728376447702e-125
helpful,mono,V voisins k=25,3144,507,0.16125954198473283,0.513368024000736,0.16370808678500987,0.5067554165834555,0.4837030062253218,0.5304445947856291,0.01240450188376054,0.5330812538258781,0.006612607417280536,0.3034825870646766,0.29698866756204856,1.0,0.37303067993366507,1.0,0.3575985997175687
helpful,mono,F foret,3144,507,0.16125954198473283,0.8415059848506947,0.4240631163708087,0.5209779656668604,0.4967685059900865,0.5444710346390578,0.012821475891013496,24.99930756087844,0.32052801918383433,0.004975124378109453,3.110156895008735e-138,0.5870646766169154,0.005149690145762416,3.483375722409783e-136,5.24283590872901e-137
helpful,mono,T0 nul avec derive,3144,507,0.16125954198473283,0.4751260135875521,0.16568047337278108,0.4993806335871182,0.4760742476022077,0.5237645002576744,0.012460113200487639,-1.9465810309505776,-0.02425461999956613,0.9751243781094527,0.974207507702049,1.0,1.0,1.0,0.9998362572761497
helpful,mono,T0b nul a taux commun,3144,507,0.16125954198473283,0.5,0.1794871794871795,0.5,0.5,0.5,0.0,,0.0,1.0,,1.0,1.0,1.0,1.0
helpful,mono,T1 temoin de segment,3144,507,0.16125954198473283,0.5297626927976101,0.1794871794871795,0.5797072161524774,0.5696087164976638,0.5920528509101626,0.005855489872849519,-8.529520917873654,-0.04994452335486732,1.0,1.0,1.0,1.0,1.0,1.0
trust,mono,P position initiale seule,3375,304,0.09007407407407407,0.7310027806817597,0.29276315789473684,0.5062402365507549,0.4743141618750964,0.5371205483384462,0.015988126003359113,14.058091866662929,0.22476254413100483,0.004975124378109453,3.435702873434169e-45,0.5870646766169154,0.005644852659778033,2.4049920114039184e-43,8.273733450310856e-45
trust,mono,L1 logistique resumee,3375,304,0.09007407407407407,0.8486820682445286,0.2565789473684211,0.5092840869166566,0.47997143267236797,0.5429227846664039,0.016219280689821407,20.925587750686443,0.339397981327872,0.004975124378109453,1.5658997695754766e-97,0.5870646766169154,0.005241648898365316,1.5345817741839672e-95,8.798865371900297e-97
trust,mono,L2 logistique complete,3375,304,0.09007407407407407,0.8105130336423931,0.29276315789473684,0.5096072769027746,0.47473435705839007,0.5509453889526813,0.0183232453725253,16.422077564425905,0.3009057567396185,0.004975124378109453,6.646799610730971e-61,0.5870646766169154,0.0054865857627749105,5.782715661335945e-59,2.4510073564570457e-60
trust,mono,V voisins k=25,3375,304,0.09007407407407407,0.5416009700251933,0.14473684210526316,0.5088063607559684,0.4744601316003702,0.5434525709523728,0.01758157444040844,1.8652828494046396,0.03279460926922484,0.04477611940298507,0.03107088392183521,1.0,0.08255597014925373,1.0,0.05819625877423103
trust,mono,F foret,3375,304,0.09007407407407407,0.810104928961936,0.29276315789473684,0.5086956074654235,0.47587091788205454,0.5416726561294967,0.016781944014443165,17.960334108915415,0.30140932149651245,0.004975124378109453,1.9920125186767292e-72,0.5870646766169154,0.005149690145762416,1.633450265314918e-70,6.352904789293352e-72
trust,mono,T0 nul avec derive,3375,304,0.09007407407407407,0.48131234040000687,0.12171052631578948,0.5031685793672556,0.46890287858403745,0.5330648474052683,0.016425637982716332,-1.3306173550303888,-0.021856238967248698,0.9104477611940298,0.9083425254934618,1.0,1.0,1.0,0.9998362572761497
trust,mono,T0b nul a taux commun,3375,304,0.09007407407407407,0.5,0.1513157894736842,0.5,0.5,0.5,0.0,,0.0,1.0,,1.0,1.0,1.0,1.0
trust,mono,T1 temoin de segment,3375,304,0.09007407407407407,0.5135702839808737,0.13157894736842105,0.5818489444977635,0.5693561987994653,0.5945895736216559,0.007133938787685177,-9.570962486355295,-0.0682786605168898,1.0,1.0,1.0,1.0,1.0,1.0
tax,mono,P position initiale seule,2971,485,0.16324469875462808,0.5019867961615977,0.17525773195876287,0.5035990723308258,0.47749634033059357,0.5294108035929037,0.014648962447855348,-0.11006077563289417,-0.0016122761692280996,0.527363184079602,0.5438194121860467,1.0,0.5556147832267235,1.0,0.5729525949817278
