perimetre,seuil,partition,tercile,condition,cellules_minoritaires,raretes_osees,rappel,rappel_ic_bas,rappel_ic_haut,precision,precision_ic_bas,precision_ic_haut,f1,plancher_segment,plancher_item,rappel_sur_cellules_a_plancher,exces_sur_plancher
1052,0.200000,D_logit regression,T3 deductible,agents demographiques (v6),6137,3289,0.210037,0.198956,0.221627,0.391912,0.374881,0.408895,0.273499,0.250066,0.148384,0.213044,-0.037022
1052,0.200000,D_logit regression,ensemble,agents demographiques (v6),18411,11371,0.186519,0.179948,0.193243,0.301996,0.293324,0.310998,0.230609,0.162376,0.126562,0.187458,0.025082
1052,0.200000,D_seg segment,T1 non deductible,agents v7,5518,3623,0.089888,0.081108,0.098444,0.136903,0.124356,0.149933,0.108522,0.025439,0.096124,0.089888,0.064449
1052,0.200000,D_seg segment,T2 intermediaire,agents v7,5939,4131,0.127631,0.118243,0.137498,0.183491,0.170504,0.196216,0.150546,0.142424,0.132788,0.127631,-0.014793
1052,0.200000,D_seg segment,T3 deductible,agents v7,5080,2932,0.180118,0.167412,0.193679,0.312074,0.293919,0.330973,0.228407,0.334445,0.152986,0.180118,-0.154327
1052,0.200000,D_seg segment,ensemble,agents v7,18411,11817,0.133127,0.126171,0.139989,0.207413,0.197547,0.216976,0.162168,0.162376,0.126562,0.131160,-0.031216
1052,0.200000,D_logit regression,T1 non deductible,agents v7,6137,4457,0.083265,0.075188,0.091147,0.114651,0.104100,0.125505,0.096470,0.081391,0.095269,0.081318,-0.000073
1052,0.200000,D_logit regression,T2 intermediaire,agents v7,6137,4004,0.134431,0.125161,0.144099,0.206044,0.192561,0.219686,0.162706,0.159325,0.136034,0.134035,-0.025290
1052,0.200000,D_logit regression,T3 deductible,agents v7,6137,3356,0.181685,0.167917,0.195315,0.332241,0.312204,0.352287,0.234910,0.250066,0.148384,0.180153,-0.069913
1052,0.200000,D_logit regression,ensemble,agents v7,18411,11817,0.133127,0.126171,0.139989,0.207413,0.197547,0.216976,0.162168,0.162376,0.126562,0.131160,-0.031216
1052,0.200000,D_seg segment,T1 non deductible,agents v8,5518,4132,0.092968,0.084116,0.102095,0.124153,0.113148,0.135001,0.106321,0.025439,0.096124,0.092968,0.067530
1052,0.200000,D_seg segment,T2 intermediaire,agents v8,5939,6716,0.181175,0.168434,0.194912,0.160214,0.149595,0.171148,0.170051,0.142424,0.132788,0.181175,0.038751
1052,0.200000,D_seg segment,T3 deductible,agents v8,5080,6843,0.360827,0.340171,0.381143,0.267865,0.254248,0.281955,0.307473,0.334445,0.152986,0.360827,0.026381
1052,0.200000,D_seg segment,ensemble,agents v8,18411,20364,0.223073,0.210901,0.235005,0.201679,0.193033,0.210689,0.211838,0.162376,0.126562,0.206930,0.044554
1052,0.200000,D_logit regression,T1 non deductible,agents v8,6137,5597,0.094183,0.085516,0.103309,0.103270,0.094465,0.112249,0.098517,0.081391,0.095269,0.087050,0.005659
1052,0.200000,D_logit regression,T2 intermediaire,agents v8,6137,6909,0.197328,0.184520,0.210690,0.175279,0.164891,0.185972,0.185651,0.159325,0.136034,0.189898,0.030573
1052,0.200000,D_logit regression,T3 deductible,agents v8,6137,7858,0.377709,0.357998,0.397159,0.294986,0.281136,0.309495,0.331261,0.250066,0.148384,0.349841,0.099775
1052,0.200000,D_logit regression,ensemble,agents v8,18411,20364,0.223073,0.210901,0.235005,0.201679,0.193033,0.210689,0.211838,0.162376,0.126562,0.206930,0.044554
1052,0.200000,D_seg segment,T1 non deductible,B0 mode,5518,0,0.000000,0.000000,0.000000,,,,0.000000,0.025439,0.096124,0.000000,-0.025439
1052,0.200000,D_seg segment,T2 intermediaire,B0 mode,5939,0,0.000000,0.000000,0.000000,,,,0.000000,0.142424,0.132788,0.000000,-0.142424
1052,0.200000,D_seg segment,T3 deductible,B0 mode,5080,0,0.000000,0.000000,0.000000,,,,0.000000,0.334445,0.152986,0.000000,-0.334445
1052,0.200000,D_seg segment,ensemble,B0 mode,18411,0,0.000000,0.000000,0.000000,,,,0.000000,0.162376,0.126562,0.000000,-0.162376
1052,0.200000,D_logit regression,T1 non deductible,B0 mode,6137,0,0.000000,0.000000,0.000000,,,,0.000000,0.081391,0.095269,0.000000,-0.081391
