item,panel,n_personnes,part_stable,part_aller_retour,part_persistant,part_erratique,part_monotone_persistant
racwork,2008-2012,343,0.4839650145772595,0.11078717201166181,0.3556851311953353,0.04956268221574344,0.12536443148688048
getahead,2008-2012,857,0.47141190198366395,0.1645274212368728,0.2823803967327888,0.08168028004667445,0.07117852975495916
aged,2008-2012,853,0.41852286049237986,0.1477139507620164,0.3388042203985932,0.09495896834701055,0.11723329425556858
parsol,2008-2012,845,0.32662721893491126,0.17633136094674556,0.35384615384615387,0.14319526627218934,0.1242603550295858
kidssol,2008-2012,816,0.2708333333333333,0.15808823529411764,0.4007352941176471,0.17034313725490197,0.11519607843137254
spanking,2008-2012,819,0.3785103785103785,0.14285714285714285,0.42002442002442003,0.05860805860805861,0.1343101343101343
divlaw,2008-2012,751,0.507323568575233,0.14513981358189082,0.29161118508655126,0.0559254327563249,0.10918774966711052
sexeduc,2008-2012,818,0.8924205378973105,0.03300733496332518,0.0745721271393643,0.0,0.04156479217603912
pillok,2008-2012,367,0.2670299727520436,0.16621253405994552,0.4141689373297003,0.15258855585831063,0.16621253405994552
xmarsex,2008-2012,832,0.7163461538461539,0.07572115384615384,0.171875,0.036057692307692304,0.06850961538461539
homosex,2008-2012,772,0.6787564766839378,0.06476683937823834,0.211139896373057,0.04533678756476684,0.10233160621761658
discaff,2008-2012,794,0.35642317380352645,0.190176322418136,0.36397984886649876,0.08942065491183879,0.14987405541561713
abdefect,2008-2012,763,0.781127129750983,0.07470511140235911,0.14416775884665792,0.0,0.08519003931847968
abnomore,2008-2012,780,0.7435897435897436,0.05897435897435897,0.19743589743589743,0.0,0.10897435897435898
abhlth,2008-2012,767,0.8813559322033898,0.024771838331160364,0.0938722294654498,0.0,0.05215123859191656
abpoor,2008-2012,781,0.7464788732394366,0.06145966709346991,0.19206145966709348,0.0,0.11139564660691421
abrape,2008-2012,781,0.8233034571062741,0.05377720870678617,0.12291933418693982,0.0,0.0
absingle,2008-2012,799,0.7384230287859824,0.07259073842302878,0.18898623279098872,0.0,0.09887359198998748
abany,2008-2012,789,0.7300380228136882,0.07858048162230671,0.19138149556400508,0.0,0.0
letdie1,2008-2012,351,0.6894586894586895,0.08831908831908832,0.2222222222222222,0.0,0.11965811965811966
suicide1,2008-2012,776,0.7010309278350515,0.09536082474226804,0.2036082474226804,0.0,0.11211340206185567
suicide2,2008-2012,814,0.8366093366093366,0.05528255528255528,0.10810810810810811,0.0,0.07002457002457002
suicide3,2008-2012,815,0.838036809815951,0.046625766871165646,0.11533742331288344,0.0,0.06503067484662577
suicide4,2008-2012,799,0.7784730913642053,0.07509386733416772,0.14643304130162704,0.0,0.08010012515644556
pornlaw,2008-2012,859,0.6123399301513388,0.09662398137369034,0.2759022118742724,0.015133876600698487,0.13736903376018628
fair,2008-2012,862,0.5510440835266821,0.10788863109048724,0.2900232018561485,0.05104408352668213,0.15081206496519722
helpful,2008-2012,861,0.5063879210220673,0.13821138211382114,0.29965156794425085,0.05574912891986063,0.15331010452961671
trust,2008-2012,869,0.669735327963176,0.09781357882623705,0.2140391254315305,0.018411967779056387,0.10701956271576525
