jeu,item,k,baseline,1-MAE,1-TV,spearman,KS
GSS,intlblks,7,BAD item permute,0.8571458171918164,0.5000103601713572,-0.28571428571428575,
GSS,intlblks,7,BAD camp inverse,0.836005210356368,0.42601823624728796,0.5,
GSS,intlwhts,7,BAD item permute,0.7542541316905857,0.13988946091705,-0.14285714285714288,
GSS,intlwhts,7,BAD camp inverse,0.8911232675546685,0.6189314364413399,0.8214285714285715,
GSS,localnum,7,BAD item permute,0.8791306233442764,0.5769571817049673,-0.3571428571428572,
GSS,localnum,7,BAD camp inverse,0.9133324478554515,0.6966635674940802,0.3214285714285715,
GSS,polviews,7,BAD item permute,0.8641728318291331,0.5246049114019657,0.0,
GSS,polviews,7,BAD camp inverse,0.8677798794553462,0.5372295780937115,-0.3571428571428572,
GSS,relate2,7,BAD item permute,0.809620268115514,0.3336709384042993,0.3214285714285715,
GSS,relate2,7,BAD camp inverse,0.7960749015489279,0.2862621554212479,-0.10714285714285716,
GSS,sexfreq,7,BAD item permute,0.874727874315265,0.5615475601034274,-0.642857142857143,
GSS,sexfreq,7,BAD camp inverse,0.96306291248523,0.8707201936983051,0.5357142857142858,
GSS,socbar,7,BAD item permute,0.8411669306638743,0.4440842573235597,-0.14285714285714288,
GSS,socbar,7,BAD camp inverse,0.8401894494427319,0.44066307304956154,-0.6785714285714287,
GSS,socfrend,7,BAD item permute,0.8351871636195045,0.4231550726682658,-0.25,
GSS,socfrend,7,BAD camp inverse,0.9327639854352863,0.7646739490235022,0.28571428571428575,
GSS,socommun,7,BAD item permute,0.9244549752192939,0.7355924132675287,-0.21428571428571433,
GSS,socommun,7,BAD camp inverse,0.9146588954315206,0.7013061340103218,-0.7857142857142859,
GSS,socrel,7,BAD item permute,0.8672587719298246,0.5354057017543858,0.03571428571428572,
