perimetre,axe,condition,mesure_x,rho_spearman,ic_items_bas,ic_items_haut,n_items,p_permutation,ratio_intra_median,ratio_intra_moyen,p_holm,p_bh
150,gender,agents composite,part expliquee Gini Simpson,0.002148,-0.164844,0.177099,146,0.978002,0.945106,0.914141,,
150,gender,agents composite,information mutuelle normalisee,-0.090780,-0.267991,0.084785,146,0.274873,0.945106,0.914141,,
150,gender,agents demographiques (v6),part expliquee Gini Simpson,-0.124858,-0.296019,0.039903,146,0.131687,0.664590,0.593722,,
150,gender,agents demographiques (v6),information mutuelle normalisee,-0.109983,-0.273134,0.057801,146,0.189281,0.664590,0.593722,,
150,gender,agents enquete,part expliquee Gini Simpson,0.009397,-0.160348,0.181704,146,0.912309,0.892347,0.920477,,
150,gender,agents enquete,information mutuelle normalisee,-0.032038,-0.210780,0.138192,146,0.704230,0.892347,0.920477,,
150,gender,agents entretien (v3),part expliquee Gini Simpson,0.088968,-0.090625,0.261360,146,0.284272,0.940271,0.834781,,
150,gender,agents entretien (v3),information mutuelle normalisee,-0.007234,-0.179503,0.173206,146,0.923608,0.940271,0.834781,,
150,gender,agents v7,part expliquee Gini Simpson,0.108392,-0.042912,0.268000,146,0.187081,0.576372,0.592685,,
150,gender,agents v7,information mutuelle normalisee,0.057931,-0.107850,0.227756,146,0.488751,0.576372,0.592685,,
150,gender,agents v8,part expliquee Gini Simpson,0.069533,-0.094859,0.229719,146,0.402460,0.889346,0.818686,,
150,gender,agents v8,information mutuelle normalisee,0.039726,-0.123363,0.203055,146,0.642236,0.889346,0.818686,,
150,gender,humains vague 2,part expliquee Gini Simpson,0.082454,-0.086535,0.248942,146,0.327967,1.001812,1.007656,,
