condition,perimetre,item,n_observes,taux_accord
agents enquete,1052,consci,1052,0.6321292775665399
agents enquete,1052,contv,1052,0.6112167300380228
agents enquete,1052,joblose,1052,0.7157794676806084
agents enquete,1052,jobfind,1052,0.653041825095057
agents enquete,1052,happy,1052,0.629277566539924
agents enquete,1052,hapmar,1052,0.7328897338403042
agents enquete,1052,satjob,1052,0.6596958174904943
agents enquete,1052,spdeg*,1052,0.6939163498098859
agents enquete,1052,spjew,1052,0.7281368821292775
agents enquete,1052,spfund,1052,0.7623574144486692
agents enquete,1052,unemp,1052,0.6730038022813688
agents enquete,1052,union1,1052,0.9020912547528517
agents enquete,1052,spkath/y,1052,0.8631178707224335
agents enquete,1052,colath,1052,0.8241444866920152
agents enquete,1052,spkrac/y,1052,0.7319391634980988
agents enquete,1052,colrac,1052,0.7414448669201521
agents enquete,1052,librac/y,1052,0.658745247148289
agents enquete,1052,spkcom/y,1052,0.7908745247148289
agents enquete,1052,colcom/y,1052,0.776615969581749
agents enquete,1052,libcom/y,1052,0.8136882129277566
agents enquete,1052,spkhomo/y,1052,0.8840304182509505
agents enquete,1052,colhomo,1052,0.8222433460076045
agents enquete,1052,libhomo/y,1052,0.8631178707224335
agents enquete,1052,cappun,1052,0.688212927756654
agents enquete,1052,polhitok/y,1052,0.6245247148288974
agents enquete,1052,polabuse/y,1052,0.905893536121673
