modele,cle_modele,identite,camp,item,famille,n_modalites,tv_decrit_reel,tv_plancher_w1_w2,part_modale_reelle,modalite_modale_reelle,part_decrite_de_cette_modalite,part_modale_decrite,gs_decrit,gs_reel_w1,pos_decrit,pos_reel_w1,derive_agregee,exces_de_variete,deficit_sur_la_modale
Qwen3-30B-A3B-Instruct-2507,q30,journaliste,droite,jew16*,hors famille,5,0.6487951807228917,0.01807228915662649,0.6987951807228916,Inapplicable (not raised as a Jew),0.05,0.4,0.7282,0.4750870953694295,,,,0.25311290463057046,-0.6487951807228916
Qwen3-4B-Instruct-2507,q4,journaliste,gauche,spfund,hors famille,4,0.648201438848921,0.009592326139088697,0.7482014388489209,Inapplicable (I currently do not have a spouse OR my spouse is not religious),0.1,0.4,0.7,0.40653520349188277,,,,0.2934647965081172,-0.6482014388489209
Qwen3-4B-Instruct-2507,q4,adversaire,centre,spfund,hors famille,4,0.6430693069306931,0.016501650165016545,0.693069306930693,Inapplicable (I currently do not have a spouse OR my spouse is not religious),0.05,0.55,0.595,0.44372556067487945,,,,0.15127443932512052,-0.643069306930693
Qwen3-4B-Instruct-2507,q4,journaliste,centre,spfund,hors famille,4,0.6430693069306931,0.016501650165016545,0.693069306930693,Inapplicable (I currently do not have a spouse OR my spouse is not religious),0.05,0.5,0.585,0.44372556067487945,,,,0.14127443932512052,-0.643069306930693
Qwen3-30B-A3B-Instruct-2507,q30,adversaire,centre,jew16*,hors famille,5,0.643069306930693,0.05610561056105612,0.693069306930693,Inapplicable (not raised as a Jew),0.05,0.4,0.7282,0.468211177553399,,,,0.25998882244660093,-0.643069306930693
Qwen3-30B-A3B-Instruct-2507,q30,journaliste,gauche,spjew,hors famille,5,0.6317745803357315,0.011990407673860878,0.7817745803357314,Inapplicable (I currently do not have a spouse OR my spouse is not Jewish),0.15,0.35,0.7682,0.3590451379903271,,,,0.4091548620096729,-0.6317745803357314
Qwen3-30B-A3B-Instruct-2507,q30,adversaire,droite,racwork,hors famille,7,0.6297590361445783,0.039156626506024056,0.3915662650602409,Inapplicable (I am currently not working),0.01,0.68,0.486,0.7319640005806359,,,,-0.24596400058063594,-0.3815662650602409
Qwen3-4B-Instruct-2507,q4,adversaire,droite,polhitok/y,hors famille,2,0.6240963855421686,0.01807228915662651,0.7740963855421686,Yes,0.15,0.85,0.2550000000000001,0.3497423428654377,0.15,0.7740963855421686,0.156844,-0.09474234286543759,-0.6240963855421686
Qwen3-4B-Instruct-2507,q4,journaliste,droite,polhitok/y,hors famille,2,0.6240963855421686,0.01807228915662651,0.7740963855421686,Yes,0.15,0.85,0.2550000000000001,0.3497423428654377,0.15,0.7740963855421686,0.156844,-0.09474234286543759,-0.6240963855421686
Qwen3-4B-Instruct-2507,q4,journaliste,droite,conpress,confiance dans les institutions (con*),3,0.6198795180722891,0.030120481927710874,0.677710843373494,Hardly any,0.1,0.65,0.5049999999999999,0.4544382348671796,0.225,0.8237951807228916,0.174905,0.05056176513282029,-0.577710843373494
Qwen3-4B-Instruct-2507,q4,adversaire,droite,wlthwhts,hors famille,7,0.616265060240964,0.06024096385542168,0.6686746987951807,4,0.1,0.25,0.84,0.5167295688779214,,,,0.32327043112207854,-0.5686746987951807
Qwen3-4B-Instruct-2507,q4,adversaire,gauche,hapmar,hors famille,4,0.6150839328537171,0.04076738609112707,0.645083932853717,Inapplicable (I am not married),0.03,0.55,0.5691999999999999,0.5296597254570445,,,,0.03954027454295539,-0.615083932853717
gpt-oss-20b,oss20,adversaire,centre,jew,hors famille,5,0.6141914191419142,0.08580858085808578,0.6534653465346535,Inapplicable (not Jewish),0.1,0.35,0.735,0.5021729895761853,,,,0.2328270104238147,-0.5534653465346535
