source,camp,mode,lecture,statistique,taux_total,valeur_moyenne,reference,s0,z,p_bilateral,puissance_empirique,n_tirages,tau_etoile_holm3,courbe_a,courbe_b,courbe_r2
B0 segment,droite,concentre,camp,B,0.3,0.00037377436378017504,0.03606690150542229,0.001803978879310672,-19.78577884197902,3.947521009292128e-87,1.0,10,0.0351,-0.17255137852458988,0.17667522469361432,0.9997856350052554
B0 segment,droite,concentre,camp,C,0.02,0.02548192771084338,0.025753012048192775,0.0014427410880173514,-0.18789534698975455,0.8509586903404522,0.0,10,0.28235,-0.014793872378978614,-0.006163413638385035,0.9977513110493977
B0 segment,droite,concentre,camp,C,0.05,0.024909638554216868,0.025753012048192775,0.0014427410880173514,-0.5845633017459081,0.5588413895911739,0.0,10,0.28235,-0.014793872378978614,-0.006163413638385035,0.9977513110493977
B0 segment,droite,concentre,camp,C,0.1,0.024427710843373494,0.025753012048192775,0.0014427410880173514,-0.9185994741721403,0.3583051071240049,0.0,10,0.28235,-0.014793872378978614,-0.006163413638385035,0.9977513110493977
B0 segment,droite,concentre,camp,C,0.2,0.022379518072289155,0.025753012048192775,0.0014427410880173514,-2.3382532069836275,0.019374116854174412,0.5,10,0.28235,-0.014793872378978614,-0.006163413638385035,0.9977513110493977
B0 segment,droite,concentre,camp,C,0.3,0.020813253012048193,0.025753012048192775,0.0014427410880173514,-3.4238707673688804,0.000617359719388873,1.0,10,0.28235,-0.014793872378978614,-0.006163413638385035,0.9977513110493977
B0 segment,droite,uniforme,global,A,0.02,-0.06754010983508031,-0.068442386630964,0.0042774784373516,0.2109366088218858,0.8329367370570555,0.0,10,0.13540000000000002,0.1069562122928772,-0.03479726341626623,0.9948998920570098
B0 segment,droite,uniforme,global,A,0.05,-0.062206026094424424,-0.068442386630964,0.0042774784373516,1.45795253626125,0.14485362619381256,0.0,10,0.13540000000000002,0.1069562122928772,-0.03479726341626623,0.9948998920570098
B0 segment,droite,uniforme,global,A,0.1,-0.05676433070544319,-0.068442386630964,0.0042774784373516,2.730126193868384,0.00633100858698067,0.8,10,0.13540000000000002,0.1069562122928772,-0.03479726341626623,0.9948998920570098
B0 segment,droite,uniforme,global,A,0.2,-0.05004073647221763,-0.068442386630964,0.0042774784373516,4.301985487071152,1.6927440138070012e-05,1.0,10,0.13540000000000002,0.1069562122928772,-0.03479726341626623,0.9948998920570098
B0 segment,droite,uniforme,global,A,0.3,-0.03894667319567667,-0.068442386630964,0.0042774784373516,6.895584365248044,5.364382602804306e-12,1.0,10,0.13540000000000002,0.1069562122928772,-0.03479726341626623,0.9948998920570098
B0 segment,droite,uniforme,global,B,0.02,0.041136775124542856,0.0421897808968637,0.001524859107359,-0.6905593882339787,0.48984247650896884,0.0,10,0.09235,-0.05335604339945783,-0.000927388186029308,0.9999870054789431
B0 segment,droite,uniforme,global,B,0.05,0.03948548042089686,0.0421897808968637,0.001524859107359,-1.773475636480661,0.07614992551634829,0.0,10,0.09235,-0.05335604339945783,-0.000927388186029308,0.9999870054789431
B0 segment,droite,uniforme,global,B,0.1,0.036811801192030216,0.0421897808968637,0.001524859107359,-3.5268699113768904,0.00042050331387485246,1.0,10,0.09235,-0.05335604339945783,-0.000927388186029308,0.9999870054789431
B0 segment,droite,uniforme,global,B,0.2,0.03153188447549995,0.0421897808968637,0.001524859107359,-6.989430282396932,2.760047254415132e-12,1.0,10,0.09235,-0.05335604339945783,-0.000927388186029308,0.9999870054789431
B0 segment,droite,uniforme,global,B,0.3,0.026081662479838823,0.0421897808968637,0.001524859107359,-10.563676564796562,4.3911868427407984e-26,1.0,10,0.09235,-0.05335604339945783,-0.000927388186029308,0.9999870054789431
B0 segment,droite,uniforme,global,C,0.02,0.02704847908745247,0.0272338403041825,0.0009241516858999,-0.20057445066448668,0.8410313374830337,0.0,10,0.41050000000000003,-0.005705126267557532,-0.0038473147235476516,0.9991535595297402
B0 segment,droite,uniforme,global,C,0.05,0.026958174904942966,0.0272338403041825,0.0009241516858999,-0.29829020868051953,0.7654816766792479,0.0,10,0.41050000000000003,-0.005705126267557532,-0.0038473147235476516,0.9991535595297402
B0 segment,droite,uniforme,global,C,0.1,0.026620722433460076,0.0272338403041825,0.0009241516858999,-0.6634385675825459,0.5070497119586891,0.0,10,0.41050000000000003,-0.005705126267557532,-0.0038473147235476516,0.9991535595297402
B0 segment,droite,uniforme,global,C,0.2,0.025950570342205326,0.0272338403041825,0.0009241516858999,-1.3885923507541738,0.16495674469060087,0.0,10,0.41050000000000003,-0.005705126267557532,-0.0038473147235476516,0.9991535595297402
B0 segment,droite,uniforme,global,C,0.3,0.025171102661596955,0.0272338403041825,0.0009241516858999,-2.2320336304715376,0.02561274030188333,0.4,10,0.41050000000000003,-0.005705126267557532,-0.0038473147235476516,0.9991535595297402
B0 segment,droite,uniforme,camp,A,0.02,-0.04134205296140081,-0.04240789140881873,0.005220668890779636,0.2041574498816287,0.8382304610912742,0.0,10,0.26385000000000003,0.07214040889896056,-0.03073851771987116,0.9905551968985213
B0 segment,droite,uniforme,camp,A,0.05,-0.038477249907135205,-0.04240789140881873,0.005220668890779636,0.7528999796607554,0.4515100203625615,0.0,10,0.26385000000000003,0.07214040889896056,-0.03073851771987116,0.9905551968985213
B0 segment,droite,uniforme,camp,A,0.1,-0.03398899469033747,-0.04240789140881873,0.005220668890779636,1.6126088236222187,0.10682952027781895,0.1,10,0.26385000000000003,0.07214040889896056,-0.03073851771987116,0.9905551968985213
B0 segment,droite,uniforme,camp,A,0.2,-0.030869774627429836,-0.04240789140881873,0.005220668890779636,2.210083999344734,0.027099333121655453,0.4,10,0.26385000000000003,0.07214040889896056,-0.03073851771987116,0.9905551968985213
B0 segment,droite,uniforme,camp,A,0.3,-0.022971799079715673,-0.04240789140881873,0.005220668890779636,3.7229122811120363,0.00019693795800011454,0.9,10,0.26385000000000003,0.07214040889896056,-0.03073851771987116,0.9905551968985213
B0 segment,droite,uniforme,camp,B,0.02,0.03491010301138094,0.03606690150542229,0.001803978879310672,-0.6412483578983921,0.5213613356291598,0.0,10,0.11470000000000001,-0.05193317136266671,0.009051805317564226,0.9984639711400439
