condition,axe_transport,variante,axe_mesure,mesure,ratio_inter,inter_ic_bas,inter_ic_haut,ratio_intra,intra_ic_bas,intra_ic_haut,ratio_global,exactitude,exact_ic_bas,exact_ic_haut,delta_exactitude,delta_ic_bas,delta_ic_haut,diversite_conservee,accord_paires,part_changee
agents enquete,political_ideology,naive,_tous_axes,entropie,0.9943,0.9614,1.0298,0.8545,0.8485,0.8601,0.8578,0.6349,0.6313,0.6384,-0.0161,-0.0172,-0.0150,0.8577,0.5545,0.0416
agents enquete,political_ideology,naive,_tous_axes,gini_simpson,1.0668,1.0241,1.1068,0.8734,0.8668,0.8797,0.8780,0.6349,0.6313,0.6384,-0.0161,-0.0172,-0.0150,0.8577,0.5545,0.0416
agents enquete,political_ideology,informee,political_ideology,entropie,1.0962,1.0137,1.1800,0.8462,0.8389,0.8546,0.8578,0.6446,0.6409,0.6483,-0.0063,-0.0074,-0.0053,0.8577,0.5545,0.0416
agents enquete,political_ideology,informee,political_ideology,gini_simpson,1.1808,1.0880,1.2734,0.8621,0.8534,0.8720,0.8780,0.6446,0.6409,0.6483,-0.0063,-0.0074,-0.0053,0.8577,0.5545,0.0416
agents enquete,political_ideology,informee,profil croise,entropie,1.0756,1.0123,1.1428,0.8450,0.8366,0.8540,0.8578,0.6446,0.6409,0.6483,-0.0063,-0.0074,-0.0053,0.8577,0.5545,0.0416
agents enquete,political_ideology,informee,profil croise,gini_simpson,1.1596,1.0756,1.2398,0.8619,0.8522,0.8718,0.8780,0.6446,0.6409,0.6483,-0.0063,-0.0074,-0.0053,0.8577,0.5545,0.0416
agents enquete,political_ideology,informee,_tous_axes,entropie,1.0274,0.9709,1.0837,0.8537,0.8468,0.8610,0.8578,0.6446,0.6409,0.6483,-0.0063,-0.0074,-0.0053,0.8577,0.5545,0.0416
agents enquete,political_ideology,informee,_tous_axes,gini_simpson,1.1009,1.0292,1.1670,0.8726,0.8647,0.8810,0.8780,0.6446,0.6409,0.6483,-0.0063,-0.0074,-0.0053,0.8577,0.5545,0.0416
agents enquete,profil croise,naive,political_ideology,entropie,1.3121,1.2395,1.3781,0.8371,0.8317,0.8436,0.8592,0.6331,0.6293,0.6366,-0.0179,-0.0190,-0.0169,0.8591,0.5535,0.0417
agents enquete,profil croise,naive,political_ideology,gini_simpson,1.3883,1.3078,1.4654,0.8534,0.8470,0.8606,0.8800,0.6331,0.6293,0.6366,-0.0179,-0.0190,-0.0169,0.8591,0.5535,0.0417
agents enquete,profil croise,naive,profil croise,entropie,0.9202,0.8698,0.9635,0.8556,0.8496,0.8619,0.8592,0.6331,0.6293,0.6366,-0.0179,-0.0190,-0.0169,0.8591,0.5535,0.0417
agents enquete,profil croise,naive,profil croise,gini_simpson,1.0404,0.9751,1.0953,0.8708,0.8642,0.8779,0.8800,0.6331,0.6293,0.6366,-0.0179,-0.0190,-0.0169,0.8591,0.5535,0.0417
agents enquete,profil croise,naive,_tous_axes,entropie,0.9766,0.9371,1.0135,0.8563,0.8506,0.8617,0.8592,0.6331,0.6293,0.6366,-0.0179,-0.0190,-0.0169,0.8591,0.5535,0.0417
